time,lat,lon,ssp126_tg_mean_p10,ssp126_tg_mean_p50,ssp126_tg_mean_p90,ssp245_tg_mean_p10,ssp245_tg_mean_p50,ssp245_tg_mean_p90,ssp585_tg_mean_p10,ssp585_tg_mean_p50,ssp585_tg_mean_p90
1964-04-01,43.708333225,-79.375002465,4.91,7.41,10.11,4.91,7.41,10.11,4.91,7.41,10.11
1964-05-01,43.708333225,-79.375002465,10.05,12.42,15.59,10.05,12.42,15.59,10.05,12.42,15.59
1964-06-01,43.708333225,-79.375002465,15.98,17.99,19.99,15.98,17.99,19.99,15.98,17.99,19.99
1964-07-01,43.708333225,-79.375002465,19.27,20.77,21.65,19.27,20.77,21.65,19.27,20.77,21.65
1964-08-01,43.708333225,-79.375002465,18.66,20.12,21.32,18.66,20.12,21.32,18.66,20.12,21.32
1964-09-01,43.708333225,-79.375002465,14.09,15.71,17.12,14.09,15.71,17.12,14.09,15.71,17.12
1964-10-01,43.708333225,-79.375002465,7.55,9.05,11.07,7.55,9.05,11.07,7.55,9.05,11.07
1964-11-01,43.708333225,-79.375002465,1.45,3.24,5.43,1.45,3.24,5.43,1.45,3.24,5.43
1964-12-01,43.708333225,-79.375002465,-5.89,-2.23,0.60,-5.89,-2.23,0.60,-5.89,-2.23,0.60
1965-01-01,43.708333225,-79.375002465,-9.80,-6.36,-1.75,-9.80,-6.36,-1.75,-9.80,-6.36,-1.75
1965-02-01,43.708333225,-79.375002465,-8.65,-5.08,-2.91,-8.65,-5.08,-2.91,-8.65,-5.08,-2.91
1965-03-01,43.708333225,-79.375002465,-4.02,-0.57,2.82,-4.02,-0.57,2.82,-4.02,-0.57,2.82
1965-04-01,43.708333225,-79.375002465,4.64,6.30,7.96,4.64,6.30,7.96,4.64,6.30,7.96
1965-05-01,43.708333225,-79.375002465,9.86,11.98,16.02,9.86,11.98,16.02,9.86,11.98,16.02
1965-06-01,43.708333225,-79.375002465,16.63,18.00,19.75,16.63,18.00,19.75,16.63,18.00,19.75
1965-07-01,43.708333225,-79.375002465,19.09,20.64,21.86,19.09,20.64,21.86,19.09,20.64,21.86
1965-08-01,43.708333225,-79.375002465,19.03,20.07,21.45,19.03,20.07,21.45,19.03,20.07,21.45
1965-09-01,43.708333225,-79.375002465,14.18,15.74,17.27,14.18,15.74,17.27,14.18,15.74,17.27
1965-10-01,43.708333225,-79.375002465,7.18,9.45,11.47,7.18,9.45,11.47,7.18,9.45,11.47
